Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Items/OstaraRing	Text		Ostara Ring	Ostara-Ring	Anneau d’Ostara	Anel de Ostara	Anello di Ostara	オスタラのリング	오스타라 반지	Кольцо Остары	Anillo de Ostara	Кільце Остари	奥斯塔拉戒指	奧斯塔拉戒指	แหวนออสทารา
Items/OstaraRingDesc	Text		A ring made of leaves and small golden eggs. It is a sign of emerging life and spring.	Ein Ring, gemacht aus Blättern und kleinen goldenen Eiern. Er ist ein Zeichen aufblühenden Lebens und des Frühlings.	Un anneau fait de feuilles et de petits œufs d’or. C’est un signe de la vie qui émerge et du printemps.	Um anel de folhas e ovinhos dourados. Simboliza o surgimento da vida e da primavera.	Un anello fatto di foglie e piccole uova dorate. Rappresenta un segno della primavera e della vita che sboccia.	葉っぱと小さな金色タマゴで作ったリング。誕生と春の象徴だ。	나뭇잎과 작은 금색 알로 만들어진 반지입니다. 삶의 탄생과 봄을 상징합니다.	Кольцо из листьев и крошечных золотых яиц. Символ весны и зарождающейся жизни.	Un anillo hecho con hojas y pequeños huevos dorados. Es un símbolo de la primavera y el resurgir de la vida.	Каблучка з листочків і маленьких золотих яєць. Символ пробудження життя й весни.	用树叶和小金蛋制作而成的戒指，象征着春天与新的生命。	用樹葉和小金蛋製成的戒指，象徵著新生與春天。	แหวนที่ทำจากใบไม้และไข่ทองคำใบเล็ก สัญลักษณ์ของฤดูใบไม้ผลิและชีวิตที่ผลิบาน
Items/PaintBrushBlack	Text		Black Paint Brush	Schwarzer Pinsel	Pinceau noir	Pincel de Tinta Preta	Pennello con vernice nera	黒色のペイントブラシ	검정 페인트붓	Кисть с черной краской	Pincel de pintura negra	Чорний пензлик	黑色画笔	黑色畫筆	แปรงทาสีดำ
Items/PaintBrushBlackDesc	Text		Used to paint certain objects black.	Damit lassen sich Objekte schwarz einfärben.	Utilisé pour peindre certains objets en noir.	Serve para pintar alguns objetos de preto.	Si usa per dipingere di nero certi elementi.	一部の物を黒くぬるのに使う。	특정 물건을 검정색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в черный цвет.	Usado para pintar de negro determinados elementos.	Може фарбувати певні об'єкти в чорний.	可以将某些物体涂成黑色。	可將某些物體塗成黑色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีดำ
Items/PaintBrushBlue	Text		Blue Paint Brush	Blauer Pinsel	Pinceau bleu	Pincel de Tinta Azul	Pennello con vernice blu	青色のペイントブラシ	파랑 페인트붓	Кисть с синей краской	Pincel de pintura azul	Синій пензлик	蓝色画笔	藍色畫筆	แปรงทาสีน้ำเงิน
Items/PaintBrushBlueDesc	Text		Used to paint certain objects blue.	Damit lassen sich Objekte blau einfärben.	Utilisé pour peindre certains objets en bleu.	Serve para pintar alguns objetos de azul.	Si usa per dipingere di blu certi elementi.	一部の物を青くぬるのに使う。	특정 물건을 파란색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в синий цвет.	Usado para pintar de azul determinados elementos.	Може фарбувати певні об'єкти в синій.	可以将某些物体涂成蓝色。	可將某些物體塗成藍色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีน้ำเงิน
Items/PaintBrushBrown	Text		Brown Paint Brush	Brauner Pinsel	Pinceau brun	Pincel de Tinta Marrom	Pennello con vernice marrone	茶色のペイントブラシ	갈색 페인트붓	Кисть с коричневой краской	Pincel de pintura marrón	Коричневий пензлик	褐色画笔	棕色畫筆	แปรงทาสีน้ำตาล
Items/PaintBrushBrownDesc	Text		Used to paint certain objects brown.	Damit lassen sich Objekte braun einfärben.	Utilisé pour peindre certains objets en brun.	Serve para pintar alguns objetos de marrom.	Si usa per dipingere di marrone certi elementi.	一部の物を茶色にぬるのに使う。	특정 물건을 갈색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в коричневый цвет.	Usado para pintar de marrón determinados elementos.	Може фарбувати певні об'єкти в коричневий.	可以将某些物体涂成褐色。	可將某些物體塗成棕色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีน้ำตาล
Items/PaintBrushCyan	Text		Cyan Paint Brush	Türkiser Pinsel	Pinceau cyan	Pincel de Tinta Ciã	Pennello con vernice turchese	青緑色のペイントブラシ	청록 페인트붓	Кисть с бирюзовой краской	Pincel de pintura turquesa	Блакитний пензлик	青色画笔	青色畫筆	แปรงทาสีน้ำเงินเขียว
Items/PaintBrushCyanDesc	Text		Used to paint certain objects cyan.	Damit lassen sich Objekte türkis einfärben.	Utilisé pour peindre certains objets en cyan.	Serve para pintar alguns objetos de ciano.	Si usa per dipingere di turchese certi elementi.	一部の物を青緑色にぬるのに使う。	특정 물건을 청록색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в бирюзовый цвет.	Usado para pintar de turquesa determinados elementos.	Може фарбувати певні об'єкти в блакитний.	可以将某些物体涂成青色。	可將某些物體塗成青色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีน้ำเงินเขียว
Items/PaintBrushGreen	Text		Green Paint Brush	Grüner Pinsel	Pinceau vert	Pincel de Tinta Verde	Pennello con vernice verde	緑色のペイントブラシ	초록 페인트붓	Кисть с зеленой краской	Pincel de pintura verde	Зелений пензлик	绿色画笔	綠色畫筆	แปรงทาสีเขียว
Items/PaintBrushGreenDesc	Text		Used to paint certain objects green.	Damit lassen sich Objekte grün einfärben.	Utilisé pour peindre certains objets en vert.	Serve para pintar alguns objetos de verde.	Si usa per dipingere di verde certi elementi.	一部の物を緑色にぬるのに使う。	특정 물건을 초록색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в зеленый цвет.	Usado para pintar de verde determinados elementos.	Може фарбувати певні об'єкти в зелений.	可以将某些物体涂成绿色。	可將某些物體塗成綠色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีเขียว
Items/PaintBrushGrey	Text		Grey Paint Brush	Grauer Pinsel	Pinceau gris	Pincel de Tinta Cinza	Pennello con vernice grigia	灰色のペイントブラシ	회색 페인트붓	Кисть с серой краской	Pincel de pintura gris	Сірий пензлик	灰色画笔	灰色畫筆	แปรงทาสีเทา
Items/PaintBrushGreyDesc	Text		Used to paint certain objects grey.	Damit lassen sich Objekte grau einfärben.	Utilisé pour peindre certains objets en gris.	Serve para pintar alguns objetos de cinza.	Si usa per dipingere di grigio certi elementi.	一部の物を灰色にぬるのに使う。	특정 물건을 회색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в серый цвет.	Usado para pintar de gris determinados elementos.	Може фарбувати певні об'єкти в сірий.	可以将某些物体涂成灰色。	可將某些物體塗成灰色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีเทา
Items/PaintBrushOrange	Text		Orange Paint Brush	Orangefarbener Pinsel	Pinceau orange	Pincel de Tinta Laranja	Pennello con vernice arancione	橙色のペイントブラシ	주황 페인트붓	Кисть с оранжевой краской	Pincel de pintura naranja	Помаранчевий пензлик	橙色画笔	橙色畫筆	แปรงทาสีส้ม
Items/PaintBrushOrangeDesc	Text		Used to paint certain objects orange.	Damit lassen sich Objekte orange einfärben.	Utilisé pour peindre certains objets en orange.	Serve para pintar alguns objetos de laranja.	Si usa per dipingere di arancione certi elementi.	一部の物を橙色にぬるのに使う。	특정 물건을 주황색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в оранжевый цвет.	Usado para pintar de naranja determinados elementos.	Може фарбувати певні об'єкти в помаранчевий.	可以将某些物体涂成橙色。	可將某些物體塗成橘色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีส้ม
Items/PaintBrushPeach	Text		Peach Paint Brush	Pfirsichfarbener Pinsel	Pinceau couleur pêche	Pincel de Tinta Pêssego	Pennello con vernice color pesca	薄桃色のペイントブラシ	복숭아색 페인트붓	Кисть с персиковой краской	Pincel de pintura color melocotón	Персиковий пензлик	桃色画笔	蜜桃色漆刷	แปรงทาสีพีช
Items/PaintBrushPeachDesc	Text		Used to paint certain objects peach.	Damit lassen sich Objekte pfirsichfarbend einfärben.	Utilisé pour peindre certains objets couleur pêche.	Serve para pintar alguns objetos de pêssego.	Si usa per dipingere di color pesca certi elementi.	一部の物を薄桃色にぬるのに使う。	특정 물건을 복숭아색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в персиковый цвет.	Se usa para pintar de color melocotón determinados elementos.	Може фарбувати певні об'єкти в персиковий.	可以将某些物体涂成桃色。	可將某些物體塗成蜜桃色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีพีช
Items/PaintBrushPink	Text		Pink Paint Brush	Pinker Pinsel	Pinceau rose	Pincel de Tinta Rosa	Pennello con vernice rosa	桃色のペイントブラシ	분홍 페인트붓	Кисть с розовой краской	Pincel de pintura rosa	Рожевий пензлик	粉色画笔	粉紅色畫筆	แปรงทาสีชมพู
Items/PaintBrushPinkDesc	Text		Used to paint certain objects pink.	Damit lassen sich Objekte rosa einfärben.	Utilisé pour peindre certains objets en rose.	Serve para pintar alguns objetos de rosa.	Si usa per dipingere di rosa certi elementi.	一部の物を桃色にぬるのに使う。	특정 물건을 분홍색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в розовый цвет.	Usado para pintar de rosa determinados elementos.	Може фарбувати певні об'єкти в рожевий.	可以将某些物体涂成粉色。	可將某些物體塗成粉紅色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีชมพู
Items/PaintBrushPurple	Text		Purple Paint Brush	Violetter Pinsel	Pinceau violet	Pincel de Tinta Roxa	Pennello con vernice viola	紫色のペイントブラシ	보라색 페인트붓	Кисть с сиреневой краской	Pincel de pintura morada	Фіолетовий пензлик	紫色画笔	紫色畫筆	แปรงทาสีม่วง
Items/PaintBrushPurpleDesc	Text		Used to paint certain objects purple.	Damit lassen sich Objekte violett einfärben.	Utilisé pour peindre certains objets en violet.	Serve para pintar alguns objetos de roxo.	Si usa per dipingere di viola certi elementi.	一部の物を紫色にぬるのに使う。	특정 물건을 보라색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в сиреневый цвет.	Usado para pintar de morado determinados elementos.	Може фарбувати певні об'єкти в фіолетовий.	可以将某些物体涂成紫色。	可將某些物體塗成紫色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีม่วง
Items/PaintBrushRed	Text		Red Paint Brush	Roter Pinsel	Pinceau rouge	Pincel de Tinta Vermelha	Pennello con vernice rossa	赤色のペイントブラシ	빨강 페인트붓	Кисть с красной краской	Pincel de pintura roja	Червоний пензлик	红色画笔	紅色畫筆	แปรงทาสีแดง
Items/PaintBrushRedDesc	Text		Used to paint certain objects red.	Damit lassen sich Objekte rot einfärben.	Utilisé pour peindre certains objets en rouge.	Serve para pintar alguns objetos de vermelho.	Si usa per dipingere di rosso certi elementi.	一部の物を赤くぬるのに使う。	특정 물건을 빨간색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в красный цвет.	Usado para pintar de rojo determinados elementos.	Може фарбувати певні об'єкти в червоний.	可以将某些物体涂成红色。	可將某些物體塗成紅色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีแดง
Items/PaintBrushTeal	Text		Teal Paint Brush	Petrolfarbener Pinsel	Pinceau vert d’eau	Pincel de Tinta Verde-azulada	Pennello con vernice color foglia di tè	深青緑色のペイントブラシ	짙은 청록 페인트붓	Кисть с сине-зеленой краской	Pincel de pintura verdiazul	Бірюзовий пензлик	蓝绿色的画笔	藍綠色漆刷	แปรงทาสีทีล
Items/PaintBrushTealDesc	Text		Used to paint certain objects teal.	Damit lassen sich Objekte petrol einfärben.	Utilisé pour peindre certains objets en vert d’eau.	Serve para pintar alguns objetos de verde-azulado.	Si usa per dipingere di color foglia di tè certi elementi.	一部の物を深青緑色にぬるのに使う。	특정 물건을 짙은 청록색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в сине-зеленый цвет.	Se usa para pintar de verdiazul determinados elementos.	Може фарбувати певні об'єкти в бірюзовий.	可以将某些物体涂成蓝绿色。	可將某些物體塗成藍綠色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีทีล
Items/PaintBrushWhite	Text		White Paint Brush	Weißer Pinsel	Pinceau blanc	Pincel de Tinta Branca	Pennello con vernice bianca	白色のペイントブラシ	흰색 페인트붓	Кисть с белой краской	Pincel de pintura blanca	Білий пензлик	白色画笔	白色漆刷	แปรงทาสีขาว
Items/PaintBrushWhiteDesc	Text		Used to paint certain objects white.	Damit lassen sich Objekte weiß einfärben.	Utilisé pour peindre certains objets en blanc.	Serve para pintar alguns objetos de branco.	Si usa per dipingere di bianco certi elementi.	一部の物を白くぬるのに使う。	특정 물건을 흰색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в белый цвет.	Usado para pintar de blanco determinados elementos.	Може фарбувати певні об'єкти в білий.	可以将某些物体涂成白色。	可將某些物體塗成白色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีขาว
Items/PaintBrushYellow	Text		Yellow Paint Brush	Gelber Pinsel	Pinceau jaune	Pincel de Tinta Amarela	Pennello con vernice gialla	黄色のペイントブラシ	노랑 페인트붓	Кисть с желтой краской	Pincel de pintura amarilla	Жовтий пензлик	黄色画笔	黃色畫筆	แปรงทาสีเหลือง
Items/PaintBrushYellowDesc	Text		Used to paint certain objects yellow.	Damit lassen sich Objekte gelb einfärben.	Utilisé pour peindre certains objets en jaune.	Serve para pintar alguns objetos de amarelo.	Si usa per dipingere di giallo certi elementi.	一部の物を黄色にぬるのに使う。	특정 물건을 노란색으로 칠할 때 사용합니다.	Этой кистью можно покрасить некоторые предметы в желтый цвет.	Usado para pintar de amarillo determinados elementos.	Може фарбувати певні об'єкти в жовтий.	可以将某些物体涂成黄色。	可將某些物體塗成黃色。	ใช้เพื่อทาวัตถุบางอย่างให้เป็นสีเหลือง
Items/PaintableFloor	Text		Paintable Floor	Bemalbarer Boden	Dalle à peindre	Piso Pintável	Pavimento verniciabile	ぬりぬり床	색칠 가능한 바닥재	Плитка под покраску	Suelo pintable	Підлога під фарбування	可以涂色的地板	可刷色的地板	พื้นทาสีได้
Items/PaintableFloorDesc	Text		A paintable bleak stone floor to make your base more colorful.	Ein bemalbarer, blanker Steinboden, um deine Basis farbenfroher zu gestalten.	Une plaque de sol en pierre incolore à peindre, pour rendre ta base plus colorée.	Um piso incolor que pode ser pintado para deixar a sua base mais colorida.	Un pavimento di pietra cupa verniciabile per rendere più colorata la tua base.	色をぬることができる石の床。基地をカラフルに彩ろう。	기지를 다채롭게 만드는 색칠 가능한 황량한 돌바닥입니다.	Эту скучную напольную плитку можно покрасить, чтобы база выглядела ярче.	Un sombrío suelo de piedra pintable para hacer que tu base sea más colorida.	Бліда кам'яна підлога, яку можна пофарбувати, щоби зробити базу яскравішою.	一块黯淡无光的石头地板，可以涂上颜色，让你的据点变得更加绚丽多彩。	一塊可刷色的黯淡石頭地板，可讓基地增添點色彩。	พื้นหินเย็นทาสีได้ ให้ฐานทัพของคุณมีสีสันยิ่งขึ้น
Items/PaintableLitFloor	Text		Lit Floor	Beleuchteter Boden	Dalle éclairée	Piso Aceso	Pavimento luminoso	光の床	조명 바닥재	Светящаяся плитка	Suelo iluminado	Підлога з підсвічуванням	发光地板	明亮的地板	พื้นส่องสว่าง
Items/PaintableLitFloorDesc	Text		A plain floor tile that magically lights up by itself. Can be painted and placed under almost every other floor cover.	Eine einfache Bodenfliese, die auf magische Weise leuchtet. Kann gefärbt und unter so ziemlich jeder anderen Bodenbedeckung platziert werden.	Un carrelage qui s’illumine tout seul comme par magie. On peut le peindre et le placer sous presque tous les autres types de revêtements de sol.	Um azulejo simples que magicamente se ilumina. Pode ser pintado e instalado em praticamente qualquer piso.	Una semplice piastrella che si illumina magicamente da sola. Può essere verniciata e posizionata sotto quasi tutte le altre coperture per pavimenti.	ひとりでに光り出すシンプルな床板。色をぬり、ほぼすべての床カバーの下に置くことができる。	마법처럼 스스로 불을 밝히는 보통 바닥입니다. 색칠할 수 있으며 거의 모든 다른 바닥 커버 아래에 둘 수 있습니다.	Простая напольная плитка, которая магическим образом светится сама по себе. Ее можно покрасить и разместить практически под любым напольным покрытием.	Una sencilla baldosa de suelo que mágicamente se ilumina sola. Se puede pintar y colocar debajo de casi cualquier otra cubierta de suelo.	Звичайна плитка для підлоги, яка чарівним чином світиться. Можна фарбувати й розміщувати майже під будь-яким підлоговим покриттям.	一块朴素的地板，能自己发光。不但可以涂上颜色，还能放置在几乎任何一种地板底下。	一塊樸素的地磚，能自行發光。可塗上顏色，而且幾乎能放置在任額地板底下。	พื้นเรียบง่ายที่เปล่งแสงออกมาได้เอง ทาสีได้และวางไว้ใต้พื้นอื่นได้แทบทุกชนิด
Items/PaintersTable	Text		Painter's Table	Maler-Tisch	Table de peintre	Mesa de Pintura	Tavolo da verniciatura	色ぬり作業台	페인트칠 작업대	Стол художника	Mesa de pintor	Стіл художника	画工桌	油漆匠工作桌	โต๊ะของช่างทาสี
Items/PaintersTableDesc	Text		Workbench to create a selection of colorful brushes.	Eine Werkbank, um eine Auswahl bunter Pinsel herzustellen.	Établi pour créer une sélection de pinceaux colorés.	Uma bancada para fabricar uma gama de pincéis coloridos.	Un banco da lavoro con cui creare una selezione di pennelli colorati.	カラフルなブラシを製作できる作業台。	다채로운 붓들을 만드는 작업대입니다.	Рабочая станция, на которой можно создавать кисти с яркими красками.	Mesa de trabajo para crear una selección de coloridos pinceles.	Верстак для створення набору різнобарвних пензлів.	用来制作各种颜色的画笔的工作台。	製造一系列彩色刷子的工作台。	โต๊ะทำงานสำหรับสร้างสรรค์แปรงทาสีต่างๆ
Items/Painting	Text		Painting	Gemälde	Tableau	Quadro	Dipinto	絵画	그림	Холст	Cuadro	Малюнок	绘画	繪畫	ภาพวาด
Items/PaintingDesc	Text		This framed, blank canvas is just waiting to be turned into a masterpiece.	Diese umrahmte, leere Leinwand wartet nur darauf in ein Meisterwerk verwandelt zu werden.	Cette toile vierge encadrée n’attend que d’être transformée en œuvre d’art.	Esta tela branca emoldurada está aí só esperando para virar uma obra de arte.	Questa tela vuota e incorniciata ha un solo obiettivo: diventare un'opera d'arte.	このフレームに入れられた無地のキャンバスは、傑作へと作り変えられることを待ち望んでいる。	액자에 넣은 텅 빈 캔버스. 걸작이 되기만을 기다리고 있습니다.	Пустой холст в раме, который только и ждет, чтобы его превратили в шедевр.	Este lienzo en blanco enmarcado está esperando convertirse en una obra maestra.	Це чисте полотно в рамці не може дочекатися, щоби стати шедевром.	一张空白画布，已经装好了画框，正等着人来绘制一幅大师之作。	一張加了畫框的空白畫布，正等著畫家揮灑出一幅曠世巨作。	ผืนผ้าใบว่างเปล่าใส่กรอบนี้อาจกลายเป็นผลงานชิ้นเอก
Items/PaleKelp	Text		Pale Kelp	Bleicher Seetang	Varech blanchâtre	Alga Pálida	Alga pallida	青白い海草	창백한 해초	Бледные водоросли	Alga blanquecina	Бліда ламінарія	苍白海藻	灰白海草	สาหร่ายซีด
Items/PaleKelpDesc	Text		A pale lump of marine plants.	Ein bleicher Klumpen Meerespflanzen.	Un amas de plantes marines blanchâtre.	Um broto pálido originário de plantas marinhas.	Un bozzolo pallido di piante marine.	青白い海洋植物のかたまり。	창백한 해초 덩어리입니다.	Бледный комок морских растений.	Un pegote blanquecino de plantas marinas.	Бліда грудка морських рослин.	苍白的海洋植物，没有固定的形状。	一團灰白色的海洋植物。	พืชทางทะเลสีซีดขึ้นเป็นกลุ่ม
Items/PandoriumAxe	Text		Pandorium Axe	Pandorium-Axt	Hache de pandorium	Machado de Pandorium	Ascia di pandorium	パンドリウムのオノ	팬더리움 도끼	Пандориевая секира	Hacha de pandorium	Сокира пандоріума	潘多拉斧头	潘多拉斧	ขวานแพนดอเรียม
Items/PandoriumAxeDesc	Text		This weapon has been designed by minds twisted in the darkness of The Passage. It tears more than it cuts.	Diese Waffe wurde von Geistern entwickelt, die in der Dunkelheit der Passage verdreht wurden. Sie reißt mehr, als sie schneidet.	Cette arme a été conçue par des esprits tordus dans les ténèbres du Passage. Elle déchire plus qu’elle ne tranche.	Esta arma foi concebida por mentes deturpadas nas trevas da Passagem. Rasga mais do que corta.	Quest'arma è stata progettata dalle menti contorte dall'oscurità del Passaggio. Piuttosto che tagliare, strappa via le carni dei poveri malcapitati.	通路の暗闇で歪んでしまった者によって作られた武器。切るというより引き裂くように攻撃する。	통로의 어둠 속에서 정신이 뒤틀린 이들이 만든 무기입니다. 벤다기 보다는 찢는다는 표현이 더 적절합니다.	Это оружие изготовили умы, извращенные тьмой Перевала. При ударе не режет, а раздирает.	Esta arma ha sido diseñada por retorcidas mentes en la oscuridad del Pasadizo. Desgarra más que cortar.	Її розробили розуми створінь із темряви Проходу. Ця сокира більше рве, ніж ріже.	这把武器是由被通道的无尽黑暗扭曲了心智的人所设计。它造成的撕裂大过劈砍。	這件武器由通道黑暗深處、具有扭曲意志的人所設計。它撕裂的傷口遠比切割得多。	อาวุธชิ้นนี้ได้รับการออกแบบโดยจิตใจที่บิดเบี้ยวภายในความมืดมิดของทางข้ามผ่าน ให้ความรู้สึกว่าจะฉีกกระชากมากกว่าจะผ่า
Items/PandoriumBar	Text		Pandorium Bar	Pandorium-Barren	Barre de pandorium	Barra de Pandorium	Barra di pandorium	パンドリウムのインゴット	팬더리움 주괴	Пандориевый слиток	Lingote de pandorium	Злиток пандоріума	潘多拉锭	潘多拉條	แท่งแพนดอเรียม
Items/PandoriumBarDesc	Text		A twisted ingot for twisted blacksmithing.	Ein verdrehter Barren für abgedrehte Schmiedearbeiten.	Un lingot torsadé pour forger des objets torsadés.	Um lingote distorcido para trabalhos de ferraria mais distorcidos ainda.	Un lingotto contorto usato per forgiare equipaggiamenti contorti.	歪んだ鍛冶に使われる歪んだインゴット。	사악한 작업에 쓰이는 사악한 주괴입니다.	Зловещий слиток для зловещих кузнечных дел.	Un lingote retorcido para herrería retorcida.	Чудернацький злиток для чудернацьких виробів.	一块扭曲的金属锭，可以用来打造扭曲的金属制品。	可用於打造扭曲金屬的扭曲金屬錠。	แท่งบิดเบี้ยวจากการตีเหล็กที่บิดเบี้ยว
Items/PandoriumBreastArmor	Text		Pandorium Chestplate and Bracers	Pandorium-Brustpanzer und -Armschienen	Plastron et garde-bras de pandorium	Peitoral e Braçadeiras de Pandorium	Pettorale e parabraccia di pandorium	パンドリウムの胸当てとブレイサー	팬더리움 갑옷 및 팔목 보호대	Пандориевый нагрудник с наручами	Peto y brazales de pandorium	Поручі й нагрудник із пандоріума	潘多拉胸甲和护臂	潘多拉胸甲及腕甲	เกราะอกและเกราะแขนแพนดอเรียม
Items/PandoriumBreastArmorDesc	Text		These plates feel inexplicably connected to your entire nervous system. When worn, your muscles twitch with anticipation.	Diese Platten fühlen sich an, als seien sie auf unerklärliche Weise mit deinem gesamten Nervensystem verbunden. Wenn du sie trägst, zucken deine Muskeln vor Erwartung.	Ces plaques sont inexplicablement connectées à l’ensemble du système nerveux. Lorsqu’on les porte, les muscles se contractent par anticipation.	Suas placas parecem inexplicavelmente conectadas a todo seu sistema nervoso. Provoca espasmos de ansiedade nos músculos.	Questi pezzi di armatura sembrano inspiegabilmente connessi al tuo intero sistema nervoso. Indossandoli, i tuoi muscoli si contraggono in anticipo.	不思議にも全神経系と繋がっている感覚がする鎧。着用すると、期待感で筋肉が引きつる。	이 판금 갑옷은 왠지 모르게 온 신경계에 연결된 듯한 느낌이 듭니다. 착용하면 근육이 기대감으로 움찔거립니다.	Похоже, эти доспехи необъяснимым образом связаны с твоей нервной системой. Стоит их надеть, и во всем теле тут же ощущается готовность.	Estas placas parecen inexplicablemente conectadas a todo tu sistema nervioso. Cuando los llevas, tus músculos palpitan de anticipación.	Пластини незрозумілим чином пов'язані з усією нервовою системою. У цій броні м'язи здригаються від якогось передчуття.	感觉这些护甲和你的整个神经系统有种不可名状的联系。穿戴后，你的肌肉会因期待而抽搐。	這些鎧甲不知怎地連結了你整個神經系統。配戴時，可預期肌肉會抽蓄。	คุณรู้สึกว่าเกราะเหล่านี้เชื่อมต่อกับระบบประสาททั่วร่างอย่างอธิบายไม่ได้ กล้ามเนื้อของคุณกระตุกด้วยความคาดหวังเมื่อสวมใส่
Items/PandoriumCrystal	Text		Pandorium Crystal	Pandorium-Kristall	Cristal de pandorium	Cristal de Pandorium	Cristallo di pandorium	パンドリウムの結晶	팬더리움 수정	Кристалл из пандория	Cristal de pandorium	Кристал пандоріума	潘多拉水晶	潘多拉水晶	คริสตัลแพนดอเรียม
Items/PandoriumCrystalDesc	Text		This large crystal formation pops and sputters with chaotic energy.	Diese große Kristallformation knistert und sprüht vor chaotischer Energie.	Cette grosse formation cristalline fait jaillir et crache de l’énergie chaotique.	Esta grande formação de cristal estala e expele energia caótica.	Questa grande formazione cristallina produce un'intensa energia caotica.	混沌エネルギーを吹き出す大きな結晶。	이 거대한 결정체에서는 혼돈의 에너지가 요동치며 요란한 소리를 냅니다.	Крупное кристаллическое образование, в котором бурлит энергия хаоса.	Esta gran formación de cristal escupe y libera energía caótica.	Це велике кришталеве утворення виростає й проводить хаотичну енергію.	巨型晶体结构，发出爆裂噼啪声，不断散发混沌能量。	這顆大型水晶的組成物散發出混亂的能量。	การก่อตัวของคริสตัลขนาดใหญ่นี้มีพลังงานโกลาหลปะทุอยู่
Items/PandoriumHelm	Text		Pandorium Helm	Pandorium-Helm	Heaume de pandorium	Elmo de Pandorium	Elmo di pandorium	パンドリウムの兜	팬더리움 투구	Пандориевый шлем	Yelmo de pandorium	Шолом із пандоріума	潘多拉头盔	潘多拉頭盔	หมวกเกราะแพนดอเรียม
Items/PandoriumHelmDesc	Text		Glistening and twisted. When worn, you feel attuned to all possible outcomes.	Glitzernd und verschlungen. Wenn man sie trägt, fühlt man sich auf alle möglichen Entwicklungen eingestimmt.	Brillant et torsadé. Lorsqu’on le porte, on se sent à en phase avec tous les dénouements possibles.	Brilhante e retorcido. Com ele equipado, você se sente sob o controle do que der e vier.	Un elmo scintillante e contorto. Indossandolo, ti senti in armonia con tutto ciò che potrebbe capitarti.	ギラギラ光るよじれた兜。着用すると、起こりえるあらゆる結果に同調できる感覚になる。	반들거리고 뒤틀린 투구입니다. 착용하면 모든 결과에 대응할 수 있다는 느낌이 듭니다.	Зловеще сверкающий шлем. Надев его, ты предчувствуешь все возможные исходы.	Brillante y retorcido. Cuando lo llevas, te sientes sintonizado con todos los resultados posibles.	Блискучий і чудернацький. У ньому ти відчуваєш готовність до будь-чого.	闪闪发光的同时又很扭曲。你在戴上它后会感觉到所有可能的结果。	晶瑩閃亮且相當扭曲。配戴時，你會感受到所有可能的結果。	แวววาวและบิดเบี้ยว คุณสัมผัสได้ถึงผลลัพธ์ที่เป็นไปได้ทั้งหมดเมื่อสวมใส่
Items/PandoriumOre	Text		Pandorium Ore	Pandorium-Erz	Minerai de pandorium	Minério de Pandorium	Minerale di pandorium	パンドリウムの鉱石	팬더리움 광석	Пандориевая руда	Mineral de pandorium	Руда пандоріума	潘多拉矿石	潘多拉礦石	แร่แพนดอเรียม
Items/PandoriumOreBoulder	Text		Pandorium Ore Boulder	Pandorium-Erzbrocken	Gisement de pandorium	Depósito de Minério de Pandorium	Masso di minerali di pandorium	パンドリウムの鉱石の岩	팬더리움 광석 바위	Пандориевый рудный валун	Roca de mineral de pandorium	Валун руди пандоріума	潘多拉矿石岩层	潘多拉礦石巨岩	ก้อนแร่แพนดอเรียมยักษ์
